1, 2, 7, 1
0, 1, 1, 1
1, 0, 0, 0
1, 1, 1, 12
1, 0, 0, 0
92, 51, 54, 37
0, 1, 0, 1
0, 1, 0, 1
38, 1, 1, 1
3, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 2
8, 0, 0, 0
7, 1, 1, 0
0, 1, 0, 1
1, 1, 1, 1
1, 1, 0, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 0, 1
1, 0, 0, 0
1, 1, 1, 1
1, 1, 1, 0
1, 1, 1, 1
1, 0, 1, 0
2, 1, 1, 1
1, 1, 1, 1
1, 0, 0, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 0
8, 9, 8, 14
1, 1, 1, 1
1, 1, 1, 1
0, 1, 0, 1
1, 1, 0, 1
1, 1, 0, 4
2, 0, 0, 0
1, 1, 1, 1
1, 1, 1, 1
1, 0, 0, 0
0, 1, 0, 0
1, 1, 1, 1
1, 0, 0, 0
0, 1, 0, 1
1, 1, 1, 1
1, 0, 0, 0
1, 0, 0, 0
1, 1, 0, 1
1, 0, 0, 0
1, 0, 0, 0
0, 1, 0, 1
1, 1, 0, 1
1, 1, 0, 0
2, 1, 0, 0
1, 0, 0, 0
0, 1, 0, 1
0, 1, 0, 0
0, 1, 0, 1
0, 1, 0, 1
154, 0, 0, 0
1, 3, 1, 3
0, 15, 1, 1
1, 0, 0, 0
0, 0, 1, 0
0, 0, 3, 1
0, 0, 1, 0
0, 1, 0, 1
1, 0, 0, 0
1, 0, 0, 0
0, 1, 0, 0
1, 0, 0, 0
0, 1, 0, 0
0, 0, 5, 0
0, 1, 0, 0
0, 1, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 1, 1, 1
6, 42, 2, 23
1, 0, 0, 0
1, 1, 1, 3
1, 1, 1, 44
45, 1, 1, 13
1, 1, 1, 4
1, 1, 0, 1
0, 0, 0, 1
1, 1, 1, 1
0, 0, 0, 1
4, 3, 1, 1
1, 1, 0, 1
1, 1, 0, 1
0, 0, 0, 1
0, 0, 0, 1
1, 1, 0, 1
1, 1, 0, 0
1, 1, 0, 1
0, 0, 0, 1
14, 12, 4, 1
0, 1, 0, 3
1, 1, 1, 1
0, 0, 0, 1
0, 0, 0, 1
1, 1, 0, 1
0, 0, 0, 1
1, 1, 0, 1
0, 1, 0, 0
0, 0, 0, 1
0, 1, 0, 1
1, 1, 0, 0
20, 67, 70, 47
0, 0, 0, 1
1, 0, 0, 0
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
0, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 21
77, 251, 299, 112
1, 1, 1, 125
1, 1, 1, 1
0, 1, 1, 1
0, 1, 1, 1
1, 1, 0, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
0, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 0, 1
1, 1, 1, 1
1, 1, 1, 1
2, 1, 1, 3
1, 1, 1, 1
0, 1, 1, 1
1, 1, 2, 1
0, 0, 0, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
1, 1, 1, 1
0, 1, 1, 1
0, 1, 0, 0
0, 1, 1, 1
2, 2, 3, 3
1, 1, 1, 0
3, 4, 8, 9
1, 15, 1, 3
0, 1, 0, 1
1, 1, 1, 1
1, 1, 2, 1
1, 1, 3, 1
1, 1, 1, 1
1, 1, 0, 1
1, 1, 1, 1
1, 2, 4, 1
1, 3, 12, 1
0, 1, 0, 1
0, 1, 0, 0
1, 1, 1, 1
0, 1, 1, 1
1, 1, 1, 1
0, 1, 0, 1
0, 1, 1, 1
1, 1, 0, 0
0, 1, 1, 0
1, 1, 1, 1
1, 1, 1, 1
